	"Code"	"Chromosome_N"	"species"	"Chromosome_2N"	"All.repeat.mobile_element.Class_I.DIRS"	"All.repeat.mobile_element.Class_I.LINE"	"All.repeat.mobile_element.Class_I.LTR"	"All.repeat.mobile_element.Class_I.LTR.Bel.Pao"	"All.repeat.mobile_element.Class_I.LTR.Ty1_copia"	"All.repeat.mobile_element.Class_I.LTR.Ty3_gypsy"	"All.repeat.mobile_element.Class_I.Penelope"	"All.repeat.mobile_element.Class_II.Subclass_2.Helitron"	"All.repeat.mobile_element.Class_II.Subclass_2.Maverick"	"All.repeat.rDNA.45S_rDNA"	"All.repeat.satellite"	"Unindentified.repeat"	"Total"
"aethiopella"	"aep_C025"	7	"aethiopella"	14	26	8849	141	558	258	790	450	23	353	432	184	24784	36848
"aethiops"	"aet_X007"	21	"aethiops"	42	72	5821	260	1556	155	1335	170	10	203	144	109	25282	35117
"albergana"	"alb_I376"	18	"albergana"	36	68	6733	511	377	183	650	346	8	329	442	162	25595	35404
"calcaria"	"cal_H965"	8	"calcaria"	16	20	7490	53	762	257	1323	556	93	310	267	78	33987	45196
"callias"	"cll_H001"	15	"callias"	30	231	7848	126	753	241	1899	357	98	647	1185	112	33847	47344
"cassioides"	"cas_X579"	10	"cassioides"	20	14	7632	45	256	308	484	428	12	307	128	144	27647	37405
"claudina"	"cla_I424"	18	"claudina"	36	19	7158	72	530	108	1024	411	55	402	198	107	35005	45089
"disa"	"dis_2020"	29	"disa"	58	72	6630	104	557	204	2761	448	9	387	94	24	28027	39317
"discoidalis"	"dle_H003"	28	"discoidalis"	56	7	7828	186	608	286	1753	541	14	669	118	87	29326	41423
"epiphron"	"epp_X050"	17	"epiphron"	34	91	7810	229	361	401	1047	462	30	432	335	67	26570	37835
"epipsoidea"	"epd_B011"	11	"epipsoidea"	22	33	7647	98	1288	424	1268	314	59	225	364	161	33403	45284
"epistygne"	"eps_A567"	28	"epistygne"	56	6	7679	324	448	759	508	853	4	553	297	223	22899	34553
"eriphyle"	"eri_H780"	29	"eriphyle"	58	6	8859	45	371	64	1171	713	6	386	613	142	32041	44417
"euryale"	"eur_X218"	29	"euryale"	58	27	7858	88	534	135	1136	492	22	567	332	121	34447	45759
"gorge"	"gor_X008"	21	"gorge"	42	62	9156	151	1245	371	1157	327	44	594	169	167	24279	37722
"gorgone"	"gon_O515"	12	"gorgone"	24	28	7129	54	634	479	762	387	3	277	216	98	31068	41135
"graucasica"	"gra_Ge09"	50	"graucasica"	100	21	8712	203	541	247	2035	495	17	213	973	175	32470	46102
"hispania"	"his_I468"	25	"hispania"	50	29	8428	120	1125	280	923	401	131	499	450	106	32174	44666
"iranica"	"ira_Ge24"	51	"iranica"	102	48	8846	173	637	153	1891	460	22	1229	910	299	33458	48126
"lefebvrei"	"lef_E146"	22	"lefebvrei"	44	32	8175	139	527	262	1155	294	49	546	490	276	35381	47326
"ligea"	"lig_X989"	29	"ligea"	58	30	7031	67	2387	144	767	478	16	571	209	153	35238	47091
"magdalena"	"mag_H046"	29	"magdalena"	58	32	5624	177	248	372	1461	281	10	908	122	196	30231	39662
"manto"	"man_Z003"	29	"manto"	58	51	7444	101	227	97	635	561	6	231	214	227	34357	44151
"medusa"	"med_F037"	11	"medusa"	22	103	7217	165	1286	432	1315	410	12	610	271	200	25959	37980
"melampus"	"mel_1300"	19	"melampus"	38	35	8173	132	426	274	1156	771	5	859	223	146	27771	39971
"melas"	"mls_E314"	21	"melas"	42	24	7011	114	879	292	545	542	2	299	536	86	29981	40311
"meolans"	"meo_J879"	14	"meolans"	28	23	8150	152	1119	304	1321	308	38	212	405	178	35552	47762
"mnestra"	"mne_H538"	12	"mnestra"	24	20	8672	127	489	179	846	438	11	268	317	175	26641	38183
"montana"	"mon_1427"	24	"montana"	48	22	7267	141	985	172	693	262	3	190	181	214	38691	48821
"neleus"	"nel_M635"	10	"neleus"	20	360	8337	183	1389	240	2242	377	66	597	533	130	34742	49196
"neoridas"	"neo_O934"	23	"neoridas"	46	31	6792	157	534	179	832	295	70	158	171	220	38706	48145
"niphonica"	"nip_NNGm"	19	"niphonica"	38	27	9023	168	432	162	688	208	19	214	327	132	28548	39948
"nivalis"	"niv_X497"	11	"nivalis"	22	60	7127	97	515	217	1543	426	176	968	382	125	31867	43503
"oeme"	"oem_S111"	14	"oeme"	28	26	6556	78	516	158	537	693	2	200	513	62	27476	36817
"ottomana"	"ott_H902"	40	"ottomana"	80	45	8359	186	471	192	1387	356	31	662	337	203	32775	45004
"pandrose"	"pan_XS83"	28	"pandrose"	56	27	10223	150	2681	233	2296	652	3	624	571	273	30910	48643
"pharte"	"pha_XS73"	19	"pharte"	38	38	10515	175	5144	399	1904	486	35	434	389	123	33762	53404
"pluto"	"plu_1487"	19	"pluto"	38	16	7350	102	764	289	1184	288	3	212	344	734	32160	43446
"polaris"	"pol_H134"	11	"polaris"	22	142	7494	112	1759	500	1632	411	11	721	355	161	27726	41024
"pronoe"	"pro_E452"	19	"pronoe"	38	68	10579	229	876	254	1089	387	2	178	346	64	26090	40162
"rondoui"	"ron_C031"	24	"rondoui"	48	65	7394	170	552	213	872	343	24	277	324	124	29468	39826
"scipio"	"sci_J449"	22	"scipio"	44	18	7088	76	581	224	1149	251	2	383	169	331	33629	43901
"sthennyo"	"sth_T060"	28	"sthennyo"	56	8	10118	195	1895	185	1881	617	2	547	444	201	30566	46659
"stirius"	"sti_X598"	22	"stirius"	44	26	7373	94	392	343	570	270	1	279	237	320	34103	44008
"styx"	"sty_I539"	23	"styx"	46	8	8513	130	399	552	902	338	1	322	160	389	35769	47483
"triarius"	"tri_J781"	16	"triarius"	32	34	6115	109	261	422	962	617	2	380	386	111	26101	35500
"tyndarus"	"tyn_X366"	10	"tyndarus"	20	51	7231	161	1078	201	1488	452	110	245	311	201	32800	44329
